rxnID,rxnName,rxnSubs,lb,ub,rxnEq,rxnS
23DHMPO,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase","Valine, leucine, and isoleucine metabolism",-1000,1000,23dhmp_c;3h3mop_c;h_c;nadp_c;nadph_c,-1;1;1;-1;1
26DAPLLAT,"L,L-diaminopimelate aminotransferase",Lysine metabolism,-1000,1000,26dap_LL_c;akg_c;glu_L_c;h2o_c;h_c;thdp_c,-1;-1;1;1;1;1
2AHBUTI,"(S)-2-Aceto-2-hydroxybutanoate isomerase","Valine, leucine, and isoleucine metabolism",-1000,1000,2ahbut_c;3h3mop_c,-1;1
2MBCOATA,"2-methylbutanoyl-CoA[acyl-carrier-protein] transferase",Glycerophospholipid metabolism,-1000,1000,2mbcoa_c;2mbutACP_c;ACP_c;coa_c,-1;1;-1;1
3HAD10M12,"10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,10m3hddcaACP_c;10mtddec2eACP_c;h2o_c,-1;1;1
3HAD11M12,"11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,11m3hddcaACP_c;11mtddec2eACP_c;h2o_c,-1;1;1
3HAD12M14,"12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,12m3hmyrsACP_c;12mtmrs2eACP_c;h2o_c,-1;1;1
3HAD13M14,"13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,13m3hmyrsACP_c;13mtmrs2eACP_c;h2o_c,-1;1;1
3HAD14M16,"14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,14m3hpalmACP_c;14mtpalm2eACP_c;h2o_c,-1;1;1
3HAD15M16,"15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,15m3hpalmACP_c;15mtpalm2eACP_c;h2o_c,-1;1;1
3HAD4M6,"4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,4m3hhexACP_c;4mthex2eACP_c;h2o_c,-1;1;1
3HAD5M6,"5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,5m3hhexACP_c;5mthex2eACP_c;h2o_c,-1;1;1
3HAD6M8,"6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,6m3hocACP_c;6mtoct2eACP_c;h2o_c,-1;1;1
3HAD7M8,"7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,7m3hocACP_c;7mtoct2eACP_c;h2o_c,-1;1;1
3HAD8M10,"8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,8m3hdcaACP_c;8mtdec2eACP_c;h2o_c,-1;1;1
3HAD9M10,"9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,9m3hdcaACP_c;9mtdec2eACP_c;h2o_c,-1;1;1
3MOBS,"3-methyl-2-oxobutanoate synthase","Valine, leucine, and isoleucine metabolism",-1000,1000,3c3hmp_c;3mob_c;accoa_c;coa_c;h2o_c;h_c,-1;1;1;-1;1;-1
3OAR100,"3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)",Fatty acid synthesis,-1000,1000,3hdecACP_c;3odecACP_c;h_c;nadp_c;nadph_c,1;-1;-1;1;-1
3OAR10M11,"10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase",Fatty acid synthesis,-1000,1000,10m3hundecACP_c;10m3oundecACP_c;h_c;nadp_c;nadph_c,1;-1;-1;1;-1
3OAR10M12,"10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase",Fatty acid synthesis,-1000,1000,10m3hddcaACP_c;10m3oddcaACP_c;h_c;nadp_c;nadph_c,1;-1;-1;1;-1
3OAR11M12,"11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase",Fatty acid synthesis,-1000,1000,11m3hddcaACP_c;11m3oddcaACP_c;h_c;nadp_c;nadph_c,1;-1;-1;1;-1
3OAR120,"3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)",Fatty acid synthesis,-1000,1000,3hddecACP_c;3oddecACP_c;h_c;nadp_c;nadph_c,1;-1;-1;1;-1
3OAR12M13,"12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase",Fatty acid synthesis,-1000,1000,12m3htridecACP_c;12m3otridecACP_c;h_c;nadp_c;nadph_c,1;-1;-1;1;-1
3OAR12M14,"12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase",Fatty acid synthesis,-1000,1000,12m3hmyrsACP_c;12m3omyrsACP_c;h_c;nadp_c;nadph_c,1;-1;-1;1;-1
3OAR13M14,"13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase",Fatty acid synthesis,-1000,1000,13m3hmyrsACP_c;13m3omyrsACP_c;h_c;nadp_c;nadph_c,1;-1;-1;1;-1
