metID,metName,metFormula,metComp
10fthf5glu_c,"10-formyltetrahydrofolate-[Glu](5)","C40H45N11O19",c
10fthf_c,"10-Formyltetrahydrofolate","C20H21N7O7",c
10m3hddcaACP_c,"10-methyl-3-hydroxy-dodecanoyl-ACP","C24H45N2O9PRS",c
10m3hundecACP_c,"10-methyl-3-hydroxy-undecanoyl-ACP","C23H43N2O9PRS",c
10m3oddcaACP_c,"10-methyl-3-oxo-dodecanoyl-ACP","C24H43N2O9PRS",c
10m3oundecACP_c,"10-methyl-3-oxo-undecanoyl-ACP","C23H41N2O9PRS",c
10mddcaACP_c,"10-methyl-dodecanoyl-ACP","C24H45N2O8PRS",c
10mtddec2eACP_c,"10-methyl-trans-dodec-2-enoyl-ACP","C24H43N2O8PRS",c
10mundecACP_c,"10-methyl-undecanoyl-ACP","C23H43N2O8PRS",c
11m3hddcaACP_c,"11-methyl-3-hydroxy-dodecanoyl-ACP","C24H45N2O9PRS",c
11m3oddcaACP_c,"11-methyl-3-oxo-dodecanoyl-ACP","C24H43N2O9PRS",c
11mddcaACP_c,"11-methyl-dodecanoyl-ACP","C24H45N2O8PRS",c
11mtddec2eACP_c,"11-methyl-trans-dodec-2-enoyl-ACP","C24H43N2O8PRS",c
12daihdglyc_c,"1,2-Dianteisoheptadecanoyl-sn-glycerol","C37H72O5",c
12daipdglyc_c,"1,2-Dianteisopentadecanoyl-sn-glycerol","C33H64O5",c
12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)","C27H52O5",c
12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)","C31H60O5",c
12dgr141_c,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)","C31H56O5",c
12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)","C35H68O5",c
12dgr161_c,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)","C35H64O5",c
12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)","C39H76O5",c
12dgr180_e,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)","C39H76O5",e
12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)","C39H72O5",c
12dihdglyc_c,"1,2-Diisoheptadecanoyl-sn-glycerol","C37H72O5",c
12dipdglyc_c,"1,2-Diisopentadecanoyl-sn-glycerol","C33H64O5",c
12ditdglyc_c,"1,2-Diisotetradecanoyl-sn-glycerol","C31H60O5",c
12dixdglyc_c,"1,2-Diisohexadecanoyl-sn-glycerol","C35H68O5",c
12m3hmyrsACP_c,"12-methyl-3-hydroxy-tetra-decanoyl-ACP","C26H49N2O9PRS",c
12m3htridecACP_c,"12-methyl-3-hydroxy-tridecanoyl-ACP","C25H47N2O9PRS",c
12m3omyrsACP_c,"12-methyl-3-oxo-tetra-decanoyl-ACP","C26H47N2O9PRS",c
12m3otridecACP_c,"12-methyl-3-oxo-tridecanoyl-ACP","C25H45N2O9PRS",c
12mmyrsACP_c,"12-methyl-tetra-decanoyl-ACP","C26H49N2O8PRS",c
12mtmrs2eACP_c,"12-methyl-trans-tetra-dec-2-enoyl-ACP","C26H47N2O8PRS",c
12mtridecACP_c,"12-methyl-tridecanoyl-ACP","C25H47N2O8PRS",c
13dpg_c,"3-Phospho-D-glyceroyl phosphate","C3H4O10P2",c
13m3hmyrsACP_c,"13-methyl-3-hydroxy-tetra-decanoyl-ACP","C26H49N2O9PRS",c
13m3omyrsACP_c,"13-methyl-3-oxo-tetra-decanoyl-ACP","C26H47N2O9PRS",c
13mmyrsACP_c,"13-methyl-tetra-decanoyl-ACP","C26H49N2O8PRS",c
13mtmrs2eACP_c,"13-methyl-trans-tetra-dec-2-enoyl-ACP","C26H47N2O8PRS",c
14m3hpalmACP_c,"14-methyl-3-hydroxy-hexa-decanoyl-ACP","C28H53N2O9PRS",c
14m3hpentdecACP_c,"14-methyl-3-hydroxy-pentadecanoyl-ACP","C27H51N2O9PRS",c
14m3opalmACP_c,"14-methyl-3-oxo-hexa-decanoyl-ACP","C28H51N2O9PRS",c
14m3opentdecACP_c,"14-methyl-3-oxo-pentadecanoyl-ACP","C27H49N2O9PRS",c
14mpalmACP_c,"14-methyl-hexa-decanoyl-ACP","C28H53N2O8PRS",c
14mpentdecACP_c,"14-methyl-pentadecanoyl-ACP","C27H51N2O8PRS",c
14mtpalm2eACP_c,"14-methyl-trans-hexa-dec-2-enoyl-ACP","C28H51N2O8PRS",c
