metID,metName,metFormula,metComp
12dgr180_d,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,d
12dgr180_fe,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,fe
12dgr180_u,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,u
12ppd_S_d,"(S)-propane-1,2-diol",C3H8O2,d
12ppd_S_fe,"(S)-propane-1,2-diol",C3H8O2,fe
12ppd_S_u,"(S)-propane-1,2-diol",C3H8O2,u
15dap_d,"1,5-Diaminopentane",C5H16N2,d
15dap_fe,"1,5-Diaminopentane",C5H16N2,fe
15dap_u,"1,5-Diaminopentane",C5H16N2,u
26dap_M_d,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,d
26dap_M_fe,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,fe
26dap_M_u,"meso-2,6-Diaminoheptanedioate",C7H14N2O4,u
2ddglcn_d,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,d
2ddglcn_fe,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,fe
2ddglcn_u,2-Dehydro-3-deoxy-D-gluconate,C6H9O6,u
2dmmq8_d,2-Demethylmenaquinone 8,C50H70O2,d
2dmmq8_fe,2-Demethylmenaquinone 8,C50H70O2,fe
2dmmq8_u,2-Demethylmenaquinone 8,C50H70O2,u
2obut_d,2-Oxobutanoate,C4H5O3,d
2obut_fe,2-Oxobutanoate,C4H5O3,fe
2obut_u,2-Oxobutanoate,C4H5O3,u
3dhcdchol_d,3-Dehydrochenodeoxycholate,C24H37O4,d
3dhcdchol_fe,3-Dehydrochenodeoxycholate,C24H37O4,fe
3dhcdchol_u,3-Dehydrochenodeoxycholate,C24H37O4,u
3mop_d,3-methyl-2-oxopentanoate,C6H9O3,d
3mop_fe,3-methyl-2-oxopentanoate,C6H9O3,fe
3mop_u,3-methyl-2-oxopentanoate,C6H9O3,u
4abut_d,4-Aminobutanoate,C4H9NO2,d
4abut_fe,4-Aminobutanoate,C4H9NO2,fe
4abut_u,4-Aminobutanoate,C4H9NO2,u
4abz_d,4-Aminobenzoate,C7H6NO2,d
4abz_fe,4-Aminobenzoate,C7H6NO2,fe
4abz_u,4-Aminobenzoate,C7H6NO2,u
4hbz_d,4-hydroxybenzoate,C7H5O3,d
4hbz_fe,4-hydroxybenzoate,C7H5O3,fe
4hbz_u,4-hydroxybenzoate,C7H5O3,u
4hpro_LT_d,trans-4-hydroxy-L-proline,C5H9NO3,d
4hpro_LT_fe,trans-4-hydroxy-L-proline,C5H9NO3,fe
4hpro_LT_u,trans-4-hydroxy-L-proline,C5H9NO3,u
5aop_d,5-Amino-4-oxopentanoate,C5H9NO3,d
5aop_fe,5-Amino-4-oxopentanoate,C5H9NO3,fe
5aop_u,5-Amino-4-oxopentanoate,C5H9NO3,u
7dhcdchol_d,7-Dehydrochenodeoxycholate,C24H37O4,d
7dhcdchol_fe,7-Dehydrochenodeoxycholate,C24H37O4,fe
7dhcdchol_u,7-Dehydrochenodeoxycholate,C24H37O4,u
C02528_d,chenodeoxycholate,C24H39O4,d
C02528_fe,chenodeoxycholate,C24H39O4,fe
C02528_u,chenodeoxycholate,C24H39O4,u
HC02191_d,lithocholate,C24H39O3,d
HC02191_fe,lithocholate,C24H39O3,fe
HC02191_u,lithocholate,C24H39O3,u
Lcyst_u,L-cysteate(1-),C3H6NO5S,u
Nbfortyr_d,"N,N-bisformyl-dityrosine (iMM904)",C20H22N2O8,d
Nbfortyr_fe,"N,N-bisformyl-dityrosine (iMM904)",C20H22N2O8,fe
Nbfortyr_u,"N,N-bisformyl-dityrosine (iMM904)",C20H22N2O8,u
Ser_Thr_d,protein-linked serine or threonine residue (O-glycosylation site),XH,d
Ser_Thr_fe,protein-linked serine or threonine residue (O-glycosylation site),XH,fe
Ser_Thr_u,protein-linked serine or threonine residue (O-glycosylation site),XH,u
T_antigen_d,T antigen (core 1),C14H24NO10X,d
T_antigen_fe,T antigen (core 1),C14H24NO10X,fe
T_antigen_u,T antigen (core 1),C14H24NO10X,u
Tn_antigen_d,Tn antigen,C8H14NO5X,d
Tn_antigen_fe,Tn antigen,C8H14NO5X,fe
Tn_antigen_u,Tn antigen,C8H14NO5X,u
ac_d,Acetate,C2H3O2,d
ac_fe,Acetate,C2H3O2,fe
ac_u,Acetate,C2H3O2,u
acac_d,Acetoacetate,C4H5O3,d
acac_fe,Acetoacetate,C4H5O3,fe
acac_u,Acetoacetate,C4H5O3,u
acald_d,Acetaldehyde,C2H4O,d
acald_fe,Acetaldehyde,C2H4O,fe
acald_u,Acetaldehyde,C2H4O,u
acgal_d,N-acetyl-D-galactosamine,C8H15NO6,d
acgal_fe,N-acetyl-D-galactosamine,C8H15NO6,fe
acgal_u,N-acetyl-D-galactosamine,C8H15NO6,u
acgam_d,N-acetyl-D-glucosamine,C8H15NO6,d
acgam_fe,N-acetyl-D-glucosamine,C8H15NO6,fe
acgam_u,N-acetyl-D-glucosamine,C8H15NO6,u
acmana_d,N-acetyl-D-mannosamine,C8H15NO6,d
acmana_fe,N-acetyl-D-mannosamine,C8H15NO6,fe
acmana_u,N-acetyl-D-mannosamine,C8H15NO6,u
acnam_d,N-acetylneuraminate,C11H18NO9,d
acnam_fe,N-acetylneuraminate,C11H18NO9,fe
acnam_u,N-acetylneuraminate,C11H18NO9,u
ade_d,Adenine,C5H5N5,d
ade_fe,Adenine,C5H5N5,fe
ade_u,Adenine,C5H5N5,u
adn_d,Adenosine,C10H13N5O4,d
adn_fe,Adenosine,C10H13N5O4,fe
adn_u,Adenosine,C10H13N5O4,u
adocbl_d,Adenosylcobalamin,C72H100CoN18O17P,d
adocbl_fe,Adenosylcobalamin,C72H100CoN18O17P,fe
adocbl_u,Adenosylcobalamin,C72H100CoN18O17P,u
adprib_d,ADPribose,C15H21N5O14P2,d
adprib_fe,ADPribose,C15H21N5O14P2,fe
adprib_u,ADPribose,C15H21N5O14P2,u
ahcys_d,S-Adenosyl-L-homocysteine,C14H20N6O5S,d
ahcys_fe,S-Adenosyl-L-homocysteine,C14H20N6O5S,fe
ahcys_u,S-Adenosyl-L-homocysteine,C14H20N6O5S,u
akg_u,2-Oxoglutarate,C5H4O5,u
ala_D_d,D-alanine,C3H7NO2,d
ala_D_fe,D-alanine,C3H7NO2,fe
ala_D_u,D-alanine,C3H7NO2,u
ala_L_d,L-alanine,C3H7NO2,d
ala_L_fe,L-alanine,C3H7NO2,fe
ala_L_u,L-alanine,C3H7NO2,u
alaala_d,D-Alanyl-D-alanine,C6H12N2O3,d
alaala_fe,D-Alanyl-D-alanine,C6H12N2O3,fe
alaala_u,D-Alanyl-D-alanine,C6H12N2O3,u
alaasp_d,L-alanyl-L-aspartate,C7H11N2O5,d
alaasp_fe,L-alanyl-L-aspartate,C7H11N2O5,fe
alaasp_u,L-alanyl-L-aspartate,C7H11N2O5,u
alagln_d,L-alanyl-L-glutamine,C8H15N3O4,d
alagln_fe,L-alanyl-L-glutamine,C8H15N3O4,fe
alagln_u,L-alanyl-L-glutamine,C8H15N3O4,u
alaglu_d,L-alanyl-L-glutamate,C8H13N2O5,d
alaglu_fe,L-alanyl-L-glutamate,C8H13N2O5,fe
alaglu_u,L-alanyl-L-glutamate,C8H13N2O5,u
alagly_d,L-alanylglycine,C5H10N2O3,d
alagly_fe,L-alanylglycine,C5H10N2O3,fe
alagly_u,L-alanylglycine,C5H10N2O3,u
alahis_d,L-alanyl-L-histidine,C9H14N4O3,d
alahis_fe,L-alanyl-L-histidine,C9H14N4O3,fe
alahis_u,L-alanyl-L-histidine,C9H14N4O3,u
alaleu_d,L-alanyl-L-leucine,C9H18N2O3,d
alaleu_fe,L-alanyl-L-leucine,C9H18N2O3,fe
alaleu_u,L-alanyl-L-leucine,C9H18N2O3,u
alathr_d,L-alanyl-L-threonine,C7H14N2O4,d
alathr_fe,L-alanyl-L-threonine,C7H14N2O4,fe
alathr_u,L-alanyl-L-threonine,C7H14N2O4,u
alltn_d,Allantoin,C4H6N4O3,d
alltn_fe,Allantoin,C4H6N4O3,fe
alltn_u,Allantoin,C4H6N4O3,u
amet_d,S-Adenosyl-L-methionine,C15H23N6O5S,d
amet_fe,S-Adenosyl-L-methionine,C15H23N6O5S,fe
amet_u,S-Adenosyl-L-methionine,C15H23N6O5S,u
amp_d,AMP,C10H12N5O7P,d
amp_fe,AMP,C10H12N5O7P,fe
amp_u,AMP,C10H12N5O7P,u
arab_D_d,D-Arabinose,C5H10O5,d
arab_D_fe,D-Arabinose,C5H10O5,fe
arab_D_u,D-Arabinose,C5H10O5,u
arab_L_d,L-arabinose,C5H10O5,d
arab_L_fe,L-arabinose,C5H10O5,fe
arab_L_u,L-arabinose,C5H10O5,u
arabttr_d,Arabinotriose,C15H26O13,d
arabttr_fe,Arabinotriose,C15H26O13,fe
arabttr_u,Arabinotriose,C15H26O13,u
arbt_d,Arbutin,C12H16O7,d
arbt_fe,Arbutin,C12H16O7,fe
arbt_u,Arbutin,C12H16O7,u
arg_L_d,L-arginine,C6H15N4O2,d
arg_L_fe,L-arginine,C6H15N4O2,fe
arg_L_u,L-arginine,C6H15N4O2,u
arsenb_u,Arsenobetaine,C5H12AsO2,u
asn_L_d,L-asparagine,C4H8N2O3,d
asn_L_fe,L-asparagine,C4H8N2O3,fe
asn_L_u,L-asparagine,C4H8N2O3,u
aso3_d,arsenite,AsO3,d
aso3_fe,arsenite,AsO3,fe
aso3_u,arsenite,AsO3,u
aso4_d,arsenate,AsO4,d
aso4_fe,arsenate,AsO4,fe
aso4_u,arsenate,AsO4,u
asp_L_d,L-aspartate,C4H6NO4,d
asp_L_fe,L-aspartate,C4H6NO4,fe
asp_L_u,L-aspartate,C4H6NO4,u
atp_d,ATP,C10H12N5O13P3,d
atp_fe,ATP,C10H12N5O13P3,fe
atp_u,ATP,C10H12N5O13P3,u
bhb_u,(R)-3-hydroxybutyrate,C4H7O3,u
btn_d,Biotin,C10H15N2O3S,d
btn_fe,Biotin,C10H15N2O3S,fe
btn_u,Biotin,C10H15N2O3S,u
but_d,Butyrate,C4H7O2,d
but_fe,Butyrate,C4H7O2,fe
but_u,Butyrate,C4H7O2,u
butso3_u,butanesulfonate,C4H9O3S,u
bz_d,benzoate,C7H5O2,d
bz_fe,benzoate,C7H5O2,fe
bz_u,benzoate,C7H5O2,u
bzam_d,Benzamide,C7H7NO,d
bzam_fe,Benzamide,C7H7NO,fe
bzam_u,Benzamide,C7H7NO,u
ca2_d,calcium(2+),Ca,d
ca2_fe,calcium(2+),Ca,fe
ca2_u,calcium(2+),Ca,u
cbl1_d,Cob(I)alamin,C62H88CoN13O14P,d
cbl1_fe,Cob(I)alamin,C62H88CoN13O14P,fe
cbl1_u,Cob(I)alamin,C62H88CoN13O14P,u
cbl2_d,Cob(II)alamin,C62H92CoN13O14P,d
cbl2_fe,Cob(II)alamin,C62H92CoN13O14P,fe
cbl2_u,Cob(II)alamin,C62H92CoN13O14P,u
cd2_u,Cadmium,Cd,u
cdp_d,CDP,C9H12N3O11P2,d
cdp_fe,CDP,C9H12N3O11P2,fe
cdp_u,CDP,C9H12N3O11P2,u
cellb_d,cellobiose,C12H22O11,d
cellb_fe,cellobiose,C12H22O11,fe
cellb_u,cellobiose,C12H22O11,u
cgly_d,L-cysteinylglycine,C5H10N2O3S,d
cgly_fe,L-cysteinylglycine,C5H10N2O3S,fe
cgly_u,L-cysteinylglycine,C5H10N2O3S,u
chol_u,Choline,C5H14NO,u
cholate_d,Cholate,C24H39O5,d
cholate_fe,Cholate,C24H39O5,fe
cholate_u,Cholate,C24H39O5,u
chols_u,Choline sulfate,C5H13NO4S,u
chor_d,chorismate,C10H8O6,d
chor_fe,chorismate,C10H8O6,fe
chor_u,chorismate,C10H8O6,u
chsterol_u,cholesterol,C27H46O,u
chtbs_d,"N,N-diacetylchitobiose",C16H28N2O11,d
chtbs_fe,"N,N-diacetylchitobiose",C16H28N2O11,fe
chtbs_u,"N,N-diacetylchitobiose",C16H28N2O11,u
cit_d,Citrate,C6H5O7,d
cit_fe,Citrate,C6H5O7,fe
cit_u,Citrate,C6H5O7,u
cl_d,Chloride,Cl,d
cl_fe,Chloride,Cl,fe
cl_u,Chloride,Cl,u
cmp_d,CMP,C9H12N3O8P,d
cmp_fe,CMP,C9H12N3O8P,fe
cmp_u,CMP,C9H12N3O8P,u
co2_d,Carbon dioxide,CO2,d
co2_fe,Carbon dioxide,CO2,fe
co2_u,Carbon dioxide,CO2,u
coa_d,Coenzyme A,C21H32N7O16P3S,d
coa_fe,Coenzyme A,C21H32N7O16P3S,fe
coa_u,Coenzyme A,C21H32N7O16P3S,u
cobalt2_d,Co2+,Co,d
cobalt2_fe,Co2+,Co,fe
cobalt2_u,Co2+,Co,u
core2_d,Core 2,C22H37N2O15X,d
core2_fe,Core 2,C22H37N2O15X,fe
core2_u,Core 2,C22H37N2O15X,u
core3_d,Core 3,C16H27N2O10X,d
core3_fe,Core 3,C16H27N2O10X,fe
core3_u,Core 3,C16H27N2O10X,u
core4_d,Core 4,C24H40N3O15X,d
core4_fe,Core 4,C24H40N3O15X,fe
core4_u,Core 4,C24H40N3O15X,u
core5_d,Core 5,C16H27N2O10X,d
core5_fe,Core 5,C16H27N2O10X,fe
core5_u,Core 5,C16H27N2O10X,u
core6_d,Core 6,C16H27N2O10X,d
core6_fe,Core 6,C16H27N2O10X,fe
core6_u,Core 6,C16H27N2O10X,u
core7_d,Core 7,C16H27N2O10X,d
