rxnID,rxnName,rxnSubs,lb,ub,rxnEq,rxnS
Diet_EX_12dgr180_d,EX_12dgr180_d,,-1000,10000,12dgr180_d,-1
DUt_12dgr180,DUt_12dgr180,,0,10000,12dgr180_d;12dgr180_u,-1;1
UFEt_12dgr180,UFEt_12dgr180,,0,10000,12dgr180_u;12dgr180_fe,-1;1
EX_12dgr180_fe,EX_12dgr180_fe,,-1000,10000,12dgr180_fe,-1
Diet_EX_12ppd_S_d,EX_12ppd_S_d,,-1000,10000,12ppd_S_d,-1
DUt_12ppd_S,DUt_12ppd_S,,0,10000,12ppd_S_d;12ppd_S_u,-1;1
UFEt_12ppd_S,UFEt_12ppd_S,,0,10000,12ppd_S_u;12ppd_S_fe,-1;1
EX_12ppd_S_fe,EX_12ppd_S_fe,,-1000,10000,12ppd_S_fe,-1
Diet_EX_15dap_d,EX_15dap_d,,-1000,10000,15dap_d,-1
DUt_15dap,DUt_15dap,,0,10000,15dap_d;15dap_u,-1;1
UFEt_15dap,UFEt_15dap,,0,10000,15dap_u;15dap_fe,-1;1
EX_15dap_fe,EX_15dap_fe,,-1000,10000,15dap_fe,-1
Diet_EX_26dap_M_d,EX_26dap_M_d,,-1000,10000,26dap_M_d,-1
DUt_26dap_M,DUt_26dap_M,,0,10000,26dap_M_d;26dap_M_u,-1;1
UFEt_26dap_M,UFEt_26dap_M,,0,10000,26dap_M_u;26dap_M_fe,-1;1
EX_26dap_M_fe,EX_26dap_M_fe,,-1000,10000,26dap_M_fe,-1
Diet_EX_2ddglcn_d,EX_2ddglcn_d,,-1000,10000,2ddglcn_d,-1
DUt_2ddglcn,DUt_2ddglcn,,0,10000,2ddglcn_d;2ddglcn_u,-1;1
UFEt_2ddglcn,UFEt_2ddglcn,,0,10000,2ddglcn_u;2ddglcn_fe,-1;1
EX_2ddglcn_fe,EX_2ddglcn_fe,,-1000,10000,2ddglcn_fe,-1
Diet_EX_2dmmq8_d,EX_2dmmq8_d,,-1000,10000,2dmmq8_d,-1
DUt_2dmmq8,DUt_2dmmq8,,0,10000,2dmmq8_d;2dmmq8_u,-1;1
UFEt_2dmmq8,UFEt_2dmmq8,,0,10000,2dmmq8_u;2dmmq8_fe,-1;1
EX_2dmmq8_fe,EX_2dmmq8_fe,,-1000,10000,2dmmq8_fe,-1
Diet_EX_2obut_d,EX_2obut_d,,-1000,10000,2obut_d,-1
DUt_2obut,DUt_2obut,,0,10000,2obut_d;2obut_u,-1;1
UFEt_2obut,UFEt_2obut,,0,10000,2obut_u;2obut_fe,-1;1
EX_2obut_fe,EX_2obut_fe,,-1000,10000,2obut_fe,-1
Diet_EX_3dhcdchol_d,EX_3dhcdchol_d,,-1000,10000,3dhcdchol_d,-1
DUt_3dhcdchol,DUt_3dhcdchol,,0,10000,3dhcdchol_d;3dhcdchol_u,-1;1
UFEt_3dhcdchol,UFEt_3dhcdchol,,0,10000,3dhcdchol_u;3dhcdchol_fe,-1;1
EX_3dhcdchol_fe,EX_3dhcdchol_fe,,-1000,10000,3dhcdchol_fe,-1
Diet_EX_3mop_d,EX_3mop_d,,-1000,10000,3mop_d,-1
DUt_3mop,DUt_3mop,,0,10000,3mop_d;3mop_u,-1;1
UFEt_3mop,UFEt_3mop,,0,10000,3mop_u;3mop_fe,-1;1
EX_3mop_fe,EX_3mop_fe,,-1000,10000,3mop_fe,-1
