,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Alanine and aspartate metabolism,0.6991865559302374,0.5982792194889317,0.7095038438218312,0.6452027967500726,0.8124699191828709
Aminobenzoate degradation,0.2565453517576295,0.5121607121567376,0.1805812903838842,0.5310750008092445,0.5186204435917829
Aminophosphonate metabolism,0.8869426604016643,0.1818841155665061,0.9638366273913593,0.5072346486259021,0.9028005240746804
Aminosugar metabolism,0.557656132204406,0.6948241907209434,0.5426048514623831,0.6678865282917978,0.8310721347897891
Arginine and proline metabolism,0.3823802502489671,0.4457018289532731,0.36722045313383567,0.45224705573051893,0.6707870592813829
Ascorbate and aldarate metabolism,0.24838560861859982,0.08699280689901827,0.25919261265256127,0.22959893827080557,0.5730351098841107
Benzoate degradation,0.21658124886083835,0.4570566572613227,0.21588023670763112,0.35542032175573746,0.44409870073152075
Beta-alanine metabolism,0.5497704171210438,0.5283865861251305,0.5488216088094934,0.567963076856677,0.7706286166612072
Bile acid metabolism,0.0951211450002008,0.027609982911417502,0.027480837450905796,0.1144757712103065,0.0646495250573206
Bile acid synthesis,0.2657600743067976,0.023202055928678265,0.24394373706659903,0.1046407492527972,0.3178041114906492
Biosynthesis of siderophore group nonribosomal peptides,0.49905159976892377,0.500655724675118,0.4991982611174457,0.49571909494060123,0.8861980019652798
Biotin metabolism,0.2572922886543703,0.3793296279685022,0.24970532207561835,0.2923801508432329,0.7278329445109191
Butanoate metabolism,0.22777463703868445,0.2783488690773194,0.21735650670307954,0.3030088321578302,0.408693981286513
Carbon fixation in photosynthetic organisms,0.001105952060994,0.0006060485633667809,0.0008274737108829353,0.0141779691192179,7.603762107528894e-05
Carbon fixation pathways in prokaryotes,0.2924285533343835,0.16730914437865102,0.2918527492715063,0.4260026543229857,0.870560572738758
Cell wall biosynthesis,0.6695160259677729,0.6826529489268427,0.652050883085304,0.6886906792427457,0.8851575463514537
Chloroalkane and chloroalkene degradation,0.0075902911001751,0.000218574891706,0.0031950779171417,0.0015051953516977,0.0001228300032754
Cholesterol metabolism,0.41568547824282215,0.7434219796020849,0.3987851001462744,0.591226903417367,0.7482607058843546
Citric acid cycle,0.36972083031508446,0.6852377338462895,0.35427241573791374,0.5618001990220144,0.5529899200152149
CoA catabolism,0.33586343036672484,0.3334227503344855,0.3343983593057137,0.3351298568176176,0.33337427666775826
CoA synthesis,0.5601049933632575,0.7041635205129219,0.5560285485028926,0.6407557267557913,0.755609236816246
Exchange/demand reaction,0.45508777203196643,0.5976818088736592,0.4377867018748369,0.5743760413228234,0.7141869324374627
Fatty acid oxidation,0.4317390882853666,0.5950143161823006,0.42519837499170426,0.53510735210473,0.5838171331421528
Fatty acid synthesis,0.7093917586094609,0.7365581327775688,0.6988230648447579,0.7525301061180852,0.7648762699465315
Folate metabolism,0.5345348756642438,0.5951413924072189,0.5127382309822444,0.5889253691312407,0.8022764493940384
Fructose and mannose metabolism,0.5499997742470008,0.5851589941275189,0.5384645840033523,0.5940087249040731,0.7921558870215927
