metID,metName,metFormula,MW
10dacb,"10-Deacetylbaccatin III","C29H36O10",544.2308473766
10dacdbb,"10-Deacetyl-2-debenzoylbaccatin III","C22H32O9",440.2046326261
10dmthmcn,"10-Deoxymethymycin","C25H44NO6",454.3168631502
10dmthnld,"10-Deoxymethynolide","C17H28O4",296.1987593872
10fdhf,"10-Formyldihydrofolate","C20H19N7O7",469.134596001
10fthf,"10-Formyltetrahydrofolate","C20H21N7O7",471.1502460652
10fthf5glu,"10-formyltetrahydrofolate-[Glu](5)","C40H45N11O19",983.2893183216
10fthf6glu,"10-formyltetrahydrofolate-[Glu](6)","C45H51N12O22",1111.3240863857
10fthf7glu,"10-formyltetrahydrofolate-[Glu](7)","C50H57N13O25",1239.3588544498
10fthfglu_L,"10-Formyl-THF-L-glutamate","C25H27N8O10",599.1850141293
10hdhsngnrn,"10-Hydroxydihydrosanguinarine","C20H15NO5",349.0950225972
10hocdca,"(R)-10-Hydroxystearate","C18H35O3",299.2586199898
10m3hddcaACP,"10-methyl-3-hydroxy-dodecanoyl-ACP","C24H45N2O9PRS",568.2583382538
10m3hundecACP,"10-methyl-3-hydroxy-undecanoyl-ACP","C23H43N2O9PRS",554.2426881896
10m3oddcaACP,"10-methyl-3-oxo-dodecanoyl-ACP","C24H43N2O9PRS",566.2426881896
10m3oundecACP,"10-methyl-3-oxo-undecanoyl-ACP","C23H41N2O9PRS",552.2270381254
10mddcaACP,"10-methyl-dodecanoyl-ACP","C24H45N2O8PRS",552.2634236317
10mtddec2eACP,"10-methyl-trans-dodec-2-enoyl-ACP","C24H43N2O8PRS",550.2477735675
10mtundec2eACP,"10-methyl-trans-undec-2-enoyl-ACP","C23H41N2O8PRS",536.2321235033
10mundecACP,"10-methyl-undecanoyl-ACP","C23H43N2O8PRS",538.2477735675
11_cis_retfa,"fatty acid 11-cis-retinol","C20H29OFULLR2CO",313.2167551751
11docrtsl,"11-deoxycortisol","C21H30O4",346.2144094514
11docrtstrn,"11-deoxycorticosterone","C21H30O3",330.2194948293
11m3hddcaACP,"11-methyl-3-hydroxy-dodecanoyl-ACP","C24H45N2O9PRS",568.2583382538
11m3oddcaACP,"11-methyl-3-oxo-dodecanoyl-ACP","C24H43N2O9PRS",566.2426881896
11mddcaACP,"11-methyl-dodecanoyl-ACP","C24H45N2O8PRS",552.2634236317
11mtddec2eACP,"11-methyl-trans-dodec-2-enoyl-ACP","C24H43N2O8PRS",550.2477735675
11od17odeacvind,"11-O-Demethyl-17-O-deacetylvindoline","C22H29N2O5",401.2076470518
12acndl,"1,2-Anthracenediol","C14H10O2",210.0680795652
12bishp4ppl,"1,2-Bis(4-hydroxyphenyl)-2-propanol","C15H16O3",244.1099443799
12d4mch35d1c,"cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate","C8H9O4",169.0500837773
12daihdglyc,"1,2-Dianteisoheptadecanoyl-sn-glycerol","C37H72O5",596.5379754217
12daipdglyc,"1,2-Dianteisopentadecanoyl-sn-glycerol","C33H64O5",540.4753751649
12dgr_HP,"1,2-Diacylglycerol Hp specific","C36H68O5",580.5066752933
12dgr_LLA,"1_2_diacylglycerol__lactis_specific_","C3720H6998O500",59690.2168856858
12dgr120,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)","C27H52O5",456.3814747797
12dgr140,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)","C31H60O5",512.4440750365
12dgr141,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)","C31H56O5",508.4127749081
12dgr160,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)","C35H68O5",568.5066752933
12dgr161,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)","C35H64O5",564.4753751649
12dgr180,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)","C39H76O5",624.5692755501
12dgr181,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)","C39H72O5",620.5379754217
12dgr2_ST,"Membrane 1,2-diacylglycerol mixture","X",0
12dhchol,"12-Dehydrocholate","C24H37O5",405.2640992982
12dhnp12d,"cis-1,2-Dihydronaphthalene-1,2-diol","C10H10O2",162.0680795652
12dhrtclnm,"1,2-Dehydroreticulinium","C19H22NO4",328.1548831998
12dhtc,"12-Dehydrotetracycline","C22H22N2O8",442.1376156934
12dihdglyc,"1,2-Diisoheptadecanoyl-sn-glycerol","C37H72O5",596.5379754217
12dipdglyc,"1,2-Diisopentadecanoyl-sn-glycerol","C33H64O5",540.4753751649
12ditdglyc,"1,2-Diisotetradecanoyl-sn-glycerol","C31H60O5",512.4440750365
12dixdglyc,"1,2-Diisohexadecanoyl-sn-glycerol","C35H68O5",568.5066752933
12dvmln,"1,2-Dihydrovomilenine","C21H24N2O3",352.1786926471
12ethd,"1,2-Ethanediol","C2H6O2",62.0367794368
12glcglcur,"1,2-beta-D-Glucuronosyl-D-glucuronate","C12H16O13",368.0590906009
12harachd,"12 hydroxy arachidonic acid","C20H31O3",319.2273198614
12HPET,"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate","C20H31O4",335.2222344835
12htacr,"12-HT or M-VI, 12-hydroxy tacrolimus","C44H69NO13",819.4768913074
12m3hmyrsACP,"12-methyl-3-hydroxy-tetra-decanoyl-ACP","C26H49N2O9PRS",596.2896383822
12m3htridecACP,"12-methyl-3-hydroxy-tridecanoyl-ACP","C25H47N2O9PRS",582.273988318
12m3omyrsACP,"12-methyl-3-oxo-tetra-decanoyl-ACP","C26H47N2O9PRS",594.273988318
12m3otridecACP,"12-methyl-3-oxo-tridecanoyl-ACP","C25H45N2O9PRS",580.2583382538
12mmyrsACP,"12-methyl-tetra-decanoyl-ACP","C26H49N2O8PRS",580.2947237601
12mtmrs2eACP,"12-methyl-trans-tetra-dec-2-enoyl-ACP","C26H47N2O8PRS",578.2790736959
12mtridecACP,"12-methyl-tridecanoyl-ACP","C25H47N2O8PRS",566.2790736959
12mttritec2eACP,"12-methyl-trans-tridec-2-enoyl-ACP","C25H45N2O8PRS",564.2634236317
12npthldl,"1,2-Naphthalenediol","C10H8O2",160.052429501
12ppd_R,"(R)-propane-1,2-diol","C3H8O2",76.052429501
12ppd_S,"(S)-propane-1,2-diol","C3H8O2",76.052429501
12RHPET,"12R-Hydroperoxyeicosatetraenoate","C20H31O4",335.2222344835
13_cis_oretn,"13-cis-oxo-retinoic acid","C20H27O3",315.196019733
13_cis_retn,"13-cis-retinoate","C20H27O2",299.2011051109
13_cis_retnglc,"13-cis-retinoyl glucuronide","C26H35O8",475.2331931003
1331tacr,"13,31-O-Didesmethyl-tacrolimus","C42H65NO12",775.4506765569
13dampp,"trimethylenediaminium","C3H12N2",76.1000483956
13dmt,"13-O-desmethyl tacrolimus, 13-DMT or M-I","C43H67NO12",789.4663266211
13dmxnthn,"1,3-Dimethylxanthine","C7H8N4O2",180.0647255218
13dpg,"3-Phospho-D-glyceroyl phosphate","C3H4O10P2",261.9279693694
13m3hmyrsACP,"13-methyl-3-hydroxy-tetra-decanoyl-ACP","C26H49N2O9PRS",596.2896383822
13m3omyrsACP,"13-methyl-3-oxo-tetra-decanoyl-ACP","C26H47N2O9PRS",594.273988318
13mmyrsACP,"13-methyl-tetra-decanoyl-ACP","C26H49N2O8PRS",580.2947237601
13mtmrs2eACP,"13-methyl-trans-tetra-dec-2-enoyl-ACP","C26H47N2O8PRS",578.2790736959
13ppd,"Propane-1,3-diol","C3H8O2",76.052429501
13shpoddnt,"13S-Hydroperoxy-9Z,11E-octadecadienoic acid","C18H31O4",311.2222344835
14bdc,"1,4-Benzenedicarboxylic acid","C8H4O4",164.0109586168
14dgndnbtn,"1,4-Diguanidinobutane","C6H18N6",174.159294609
14glucan,"1,4-alpha-D-glucan","C36H62O31",990.3275052753
14hmdz,"1,4-Dihydroxy-midazolam","C18H13ClFN3O2",338.0696293871
14hphe2maoh,"1-(4-Hydroxyphenyl)-2-(methylamino)ethanol","C9H14NO2",168.1024536988
14lctn,"1,4-Lactone","C4H6O2",86.0367794368
14m3hpalmACP,"14-methyl-3-hydroxy-hexa-decanoyl-ACP","C28H53N2O9PRS",624.3209385106
14m3hpentdecACP,"14-methyl-3-hydroxy-pentadecanoyl-ACP","C27H51N2O9PRS",610.3052884464
14m3opalmACP,"14-methyl-3-oxo-hexa-decanoyl-ACP","C28H51N2O9PRS",622.3052884464
14m3opentdecACP,"14-methyl-3-oxo-pentadecanoyl-ACP","C27H49N2O9PRS",608.2896383822
14mpalmACP,"14-methyl-hexa-decanoyl-ACP","C28H53N2O8PRS",608.3260238885
14mpentdecACP,"14-methyl-pentadecanoyl-ACP","C27H51N2O8PRS",594.3103738243
14mtpalm2eACP,"14-methyl-trans-hexa-dec-2-enoyl-ACP","C28H51N2O8PRS",606.3103738243
14mtpentdec2eACP,"14-methyl-trans-pentadec-2-enoyl-ACP","C27H49N2O8PRS",592.2947237601
1513tacr,"13,15-O-didesmethyl tacrolimus","C42H65NO12",775.4506765569
1531tacr,"15, 31-O-Didesmethyl-tacrolimus","C42H65NO12",775.4506765569
15ahgtl,"1,5-Anhydroglucitol","C6H12O5",164.0684734957
15anhfruc,"1,5-Anhydro-D-fructose","C6H10O5",162.0528234315
15dap,"1,5-Diaminopentane","C5H16N2",104.131348524
