metID,metName,metFormula,metComp
10fthf_c,"10-Formyltetrahydrofolate","C20H21N7O7",c
10m3hddcaACP_c,"10-methyl-3-hydroxy-dodecanoyl-ACP","C24H45N2O9PRS",c
10m3hundecACP_c,"10-methyl-3-hydroxy-undecanoyl-ACP","C23H43N2O9PRS",c
10m3oddcaACP_c,"10-methyl-3-oxo-dodecanoyl-ACP","C24H43N2O9PRS",c
10m3oundecACP_c,"10-methyl-3-oxo-undecanoyl-ACP","C23H41N2O9PRS",c
10mddcaACP_c,"10-methyl-dodecanoyl-ACP","C24H45N2O8PRS",c
10mtddec2eACP_c,"10-methyl-trans-dodec-2-enoyl-ACP","C24H43N2O8PRS",c
10mundecACP_c,"10-methyl-undecanoyl-ACP","C23H43N2O8PRS",c
11m3hddcaACP_c,"11-methyl-3-hydroxy-dodecanoyl-ACP","C24H45N2O9PRS",c
11m3oddcaACP_c,"11-methyl-3-oxo-dodecanoyl-ACP","C24H43N2O9PRS",c
11mddcaACP_c,"11-methyl-dodecanoyl-ACP","C24H45N2O8PRS",c
11mtddec2eACP_c,"11-methyl-trans-dodec-2-enoyl-ACP","C24H43N2O8PRS",c
12daihdglyc_c,"1,2-Dianteisoheptadecanoyl-sn-glycerol","C37H72O5",c
12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)","C39H76O5",c
12dihdglyc_c,"1,2-Diisoheptadecanoyl-sn-glycerol","C37H72O5",c
12m3hmyrsACP_c,"12-methyl-3-hydroxy-tetra-decanoyl-ACP","C26H49N2O9PRS",c
12m3htridecACP_c,"12-methyl-3-hydroxy-tridecanoyl-ACP","C25H47N2O9PRS",c
12m3omyrsACP_c,"12-methyl-3-oxo-tetra-decanoyl-ACP","C26H47N2O9PRS",c
12m3otridecACP_c,"12-methyl-3-oxo-tridecanoyl-ACP","C25H45N2O9PRS",c
12mmyrsACP_c,"12-methyl-tetra-decanoyl-ACP","C26H49N2O8PRS",c
12mtmrs2eACP_c,"12-methyl-trans-tetra-dec-2-enoyl-ACP","C26H47N2O8PRS",c
12mtridecACP_c,"12-methyl-tridecanoyl-ACP","C25H47N2O8PRS",c
12ppd_S_c,"(S)-propane-1,2-diol","C3H8O2",c
13dpg_c,"3-Phospho-D-glyceroyl phosphate","C3H4O10P2",c
13m3hmyrsACP_c,"13-methyl-3-hydroxy-tetra-decanoyl-ACP","C26H49N2O9PRS",c
13m3omyrsACP_c,"13-methyl-3-oxo-tetra-decanoyl-ACP","C26H47N2O9PRS",c
13mmyrsACP_c,"13-methyl-tetra-decanoyl-ACP","C26H49N2O8PRS",c
13mtmrs2eACP_c,"13-methyl-trans-tetra-dec-2-enoyl-ACP","C26H47N2O8PRS",c
14m3hpalmACP_c,"14-methyl-3-hydroxy-hexa-decanoyl-ACP","C28H53N2O9PRS",c
14m3hpentdecACP_c,"14-methyl-3-hydroxy-pentadecanoyl-ACP","C27H51N2O9PRS",c
14m3opalmACP_c,"14-methyl-3-oxo-hexa-decanoyl-ACP","C28H51N2O9PRS",c
14m3opentdecACP_c,"14-methyl-3-oxo-pentadecanoyl-ACP","C27H49N2O9PRS",c
14mpalmACP_c,"14-methyl-hexa-decanoyl-ACP","C28H53N2O8PRS",c
14mpentdecACP_c,"14-methyl-pentadecanoyl-ACP","C27H51N2O8PRS",c
14mtpalm2eACP_c,"14-methyl-trans-hexa-dec-2-enoyl-ACP","C28H51N2O8PRS",c
15dap_c,"1,5-Diaminopentane","C5H16N2",c
15m3hpalmACP_c,"15-methyl-3-hydroxy-hexa-decanoyl-ACP","C28H53N2O9PRS",c
15m3opalmACP_c,"15-methyl-3-oxo-hexa-decanoyl-ACP","C28H51N2O9PRS",c
15mpalmACP_c,"15-methyl-hexa-decanoyl-ACP","C28H53N2O8PRS",c
15mtpalm2eACP_c,"15-methyl-trans-hexa-dec-2-enoyl-ACP","C28H51N2O8PRS",c
15phytn_c,"15-cis-Phytoene","C40H64",c
1agpe120_c,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)","C17H36NO7P1",c
1agpe140_c,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)","C19H40NO7P1",c
1agpe141_c,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)","C19H38NO7P1",c
1agpe160_c,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)","C21H44NO7P1",c
1agpe161_c,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)","C21H42NO7P1",c
1agpe180_c,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)","C23H48NO7P1",c
1agpe181_c,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)","C23H46NO7P1",c
1agpg120_c,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)","C18H36O9P1",c
1agpg140_c,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)","C20H40O9P1",c
1agpg141_c,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)","C20H38O9P1",c
1agpg160_c,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)","C22H44O9P1",c
1agpg161_c,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)","C22H42O9P1",c
1agpg180_c,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)","C24H48O9P1",c
1agpg181_c,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)","C24H46O9P1",c
1aihpdecg3p_c,"1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)","C20H39O7P",c
1aipdecg3p_c,"1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)","C18H36O7P",c
1ddecg3p_c,"1-acyl-sn-glycerol 3-phosphate(2-)","C15H29O7P1",c
1hdec9eg3p_c,"1-hexadec-9-enoyl-sn-glycerol 3-phosphate","C19H35O7P1",c
1hdecg3p_c,"1-hexadecanoyl-sn-glycerol 3-phosphate","C19H37O7P1",c
1ihdecg3p_c,"1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)","C19H38O7P",c
1ihpdecg3p_c,"1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)","C20H39O7P",c
1ipdecg3p_c,"1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)","C18H36O7P",c
1itdecg3p_c,"1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)","C17H34O7P",c
1odec11eg3p_c,"1-octadec-11-enoyl-sn-glycerol 3-phosphate","C21H39O7P1",c
1odecg3p_c,"1-octadecanoyl-sn-glycerol 3-phosphate","C21H41O7P1",c
1pyr5c_c,"1-Pyrroline-5-carboxylate","C5H6NO2",c
1tdec7eg3p_c,"1-tetradec-7-enoyl-sn-glycerol 3-phosphate","C17H31O7P1",c
1tdecg3p_c,"1-tetradecanoyl-sn-glycerol 3-phosphate","C17H33O7P1",c
23dhdp_c,"2,3-Dihydrodipicolinate","C7H5NO4",c
23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate","C5H9O4",c
23dhmp_c,"(R)-2,3-Dihydroxy-3-methylpentanoate","C6H11O4",c
25aics_c,"(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate","C13H15N4O12P",c
26dap_LL_c,"LL-2,6-Diaminoheptanedioate","C7H14N2O4",c
26dap_M_c,"meso-2,6-Diaminoheptanedioate","C7H14N2O4",c
2agpe120_c,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)","C17H36NO7P1",c
2agpe140_c,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)","C19H40NO7P1",c
2agpe141_c,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)","C19H38NO7P1",c
2agpe160_c,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)","C21H44NO7P1",c
