rxnID,rxnName,rxnSubs,lb,ub,rxnEq,rxnS
12DGR180ti,"1,2 diacylglycerol transport (extracellular to cytoplasm, n-C18:0)","Transport, extracellular",0,1000,12dgr180_c;12dgr180_e,1;-1
23PDE2,"2,3-Cyclic UMP 3-nucleotidohydrolase",Nucleotide interconversion,0,1000,23cump_c;3ump_c;h2o_c;h_c,-1;1;-1;1
23PDE4,"2,3-Cyclic CMP 3-nucleotidohydrolase",Nucleotide interconversion,0,1000,23ccmp_c;3cmp_c;h2o_c;h_c,-1;1;-1;1
23PDE7,"2,3-Cyclic AMP 3-nucleotidohydrolase",Nucleotide interconversion,0,1000,23camp_c;3amp_c;h2o_c;h_c,-1;1;-1;1
23PDE9,"2,3-Cyclic GMP 3-nucleotidohydrolase",Nucleotide interconversion,0,1000,23cgmp_c;3gmp_c;h2o_c;h_c,-1;1;-1;1
2DMMQ8abc,"2-Demethylmenaquinone 8 uptake via ABC transporter","Transport, extracellular",0,1000,2dmmq8_c;2dmmq8_e;adp_c;atp_c;h2o_c;h_c;pi_c,1;-1;1;-1;-1;1;1
2HMCOXT,"4-oxalocrotonate tautomerase",Benzoate degradation,-1000,1000,2hmc_c;oxalc_c,-1;1
2MBCOATA,"2-methylbutanoyl-CoA[acyl-carrier-protein] transferase",Glycerophospholipid metabolism,-1000,1000,2mbcoa_c;2mbutACP_c;ACP_c;coa_c,-1;1;-1;1
2S6HCC,"2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase",Ubiquinone and other terpenoid-quinone biosynthesis,-1000,1000,2shchc_c;akg_c;co2_c;h_c;ichor_c;pyr_c,1;-1;1;-1;-1;1
3HAD100,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)",Fatty acid synthesis,0,1000,3hdecACP_c;h2o_c;tdec2eACP_c,-1;1;1
3HAD10M12,"10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,10m3hddcaACP_c;10mtddec2eACP_c;h2o_c,-1;1;1
3HAD11M12,"11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase",Fatty acid synthesis,0,1000,11m3hddcaACP_c;11mtddec2eACP_c;h2o_c,-1;1;1
