metID,metName,metFormula,metComp
sIEC_1a25dhvitd3_c,"Calcitriol",C27H44O3,c
sIEC_1a25dhvitd3_n,"Calcitriol",C27H44O3,n
sIEC_25hvitd3_c,"Calcidiol",C27H44O2,c
sIEC_h_c,"Hydrogen Ion",H,c
sIEC_nadph_c,"NADPH",C21H26N7O17P3,c
sIEC_o2_c,"Oxygen",O2,c
sIEC_h2o_c,"Water",H2O,c
sIEC_nadp_c,"NADP",C21H25N7O17P3,c
sIEC_25hvitd3_luI,"Calcidiol",C27H44O2,luI
sIEC_hco3_e,"Hydrogen carbonate",CHO3,e
sIEC_na1_e,"Sodium",Na,e
sIEC_hco3_c,"Hydrogen carbonate",CHO3,c
sIEC_na1_c,"Sodium",Na,c
sIEC_34dhphe_luI,"L-Dopa",C9H11NO4,luI
sIEC_leu_L_c,"L-Leucine",C6H13NO2,c
sIEC_34dhphe_c,"L-Dopa",C9H11NO4,c
sIEC_leu_L_luI,"L-Leucine",C6H13NO2,luI
sIEC_34dhphe_e,"L-Dopa",C9H11NO4,e
sIEC_3sala_c,"3-Sulfinoalanine",C3H5NO4S,c
sIEC_Lcyst_c,"Cysteic acid",C3H6NO5S,c
sIEC_akg_c,"Oxoglutaric acid",C5H4O5,c
sIEC_glu_L_c,"L-Glutamic acid",C5H8NO4,c
sIEC_3snpyr_c,"3-Sulfinylpyruvic acid",C3H2O5S,c
sIEC_pyr_c,"Pyruvic acid",C3H3O3,c
sIEC_so3_c,"Sulfite",O3S,c
sIEC_4abut_c,"gamma-Aminobutyric acid",C4H9NO2,c
sIEC_4abut_n,"gamma-Aminobutyric acid",C4H9NO2,n
sIEC_4abut_m,"gamma-Aminobutyric acid",C4H9NO2,m
sIEC_ala_L_e,"L-Alanine",C3H7NO2,e
sIEC_ala_L_c,"L-Alanine",C3H7NO2,c
sIEC_na1_luI,"Sodium",Na,luI
sIEC_cl_c,"Chloride ion",Cl,c
sIEC_5aop_c,"5-Aminolevulinic acid",C5H9NO3,c
sIEC_5aop_m,"5-Aminolevulinic acid",C5H9NO3,m
sIEC_5mthf_luI,"5-Methyltetrahydrofolic acid",C20H24N7O6,luI
sIEC_oh1_c,"Hydroxide",HO,c
sIEC_5mthf_c,"5-Methyltetrahydrofolic acid",C20H24N7O6,c
sIEC_oh1_luI,"Hydroxide",HO,luI
sIEC_akg_m,"Oxoglutaric acid",C5H4O5,m
sIEC_glu_L_m,"L-Glutamic acid",C5H8NO4,m
sIEC_sucsal_m,"Succinic acid semialdehyde",C4H5O3,m
sIEC_4abutn_c,"4-Aminobutyraldehyde",C4H10NO,c
sIEC_nad_c,"NAD",C21H26N7O14P2,c
sIEC_nadh_c,"NADH",C21H27N7O14P2,c
sIEC_accoa_c,"Acetyl-CoA",C23H34N7O17P3S,c
sIEC_aacoa_c,"Acetoacetyl-CoA",C25H36N7O18P3S,c
sIEC_coa_c,"Coenzyme A",C21H32N7O16P3S,c
sIEC_atp_c,"Adenosine triphosphate",C10H12N5O13P3,c
sIEC_cit_c,"Citric acid",C6H5O7,c
sIEC_adp_c,"ADP",C10H12N5O10P2,c
sIEC_pi_c,"Phosphate",HO4P,c
sIEC_oaa_c,"Oxalacetic acid",C4H2O5,c
sIEC_icit_c,"Isocitric acid",C6H5O7,c
sIEC_cit_m,"Citric acid",C6H5O7,m
sIEC_icit_m,"Isocitric acid",C6H5O7,m
sIEC_fmn_c,"Flavin Mononucleotide",C17H19N4O9P,c
sIEC_ribflv_c,"Riboflavin",C17H20N4O6,c
sIEC_adn_c,"Adenosine",C10H13N5O4,c
sIEC_ins_c,"Inosine",C10H12N4O5,c
sIEC_nh4_c,"Ammonia",H4N,c
sIEC_amp_c,"Adenosine monophosphate",C10H12N5O7P,c
sIEC_gtp_c,"Guanosine triphosphate",C10H12N5O14P3,c
sIEC_gdp_c,"Guanosine diphosphate",C10H12N5O11P2,c
sIEC_amet_c,"S-Adenosylmethionine",C15H23N6O5S,c
sIEC_ametam_c,"S-Adenosylmethioninamine",C14H24N6O3S,c
sIEC_co2_c,"Carbon dioxide",CO2,c
sIEC_dgtp_c,"dGTP",C10H12N5O13P3,c
sIEC_dgdp_c,"dGDP",C10H12N5O10P2,c
sIEC_adn_e,"Adenosine",C10H13N5O4,e
sIEC_adn_luI,"Adenosine",C10H13N5O4,luI
sIEC_adprib_c,"Adenosine diphosphate ribose",C15H21N5O14P2,c
sIEC_r5p_c,"D-Ribose 5-phosphate",C5H9O8P,c
sIEC_ade_c,"Adenine",C5H5N5,c
sIEC_prpp_c,"Phosphoribosyl pyrophosphate",C5H8O14P3,c
sIEC_ppi_c,"Pyrophosphate",HO7P2,c
sIEC_dcamp_c,"Adenylsuccinic acid",C14H14N5O11P,c
sIEC_fum_c,"Fumaric acid",C4H2O4,c
sIEC_25aics_c,"SAICAR",C13H15N4O12P,c
sIEC_aicar_c,"AICAR",C9H13N4O8P,c
